Designator,Mid X,Mix Y,Rotation,Layer
R8,45.8471,14.478,270,T
Q1,48.5771,14.4159,180,T
C7,26.5206,29.556,0,T
C17,26.5206,30.9784,0,T
L1,51.9176,32.766,90,T
F2,49.276,62.611,90,T
R6,34.5441,44.45,270,T
R5,32.5121,44.45,270,T
C11,48.4124,39.0017,90,T
C10,22.7584,35.6235,90,T
C9,48.4124,32.4231,90,T
C8,49.7967,28.1432,0,T
C16,25.4,39.3827,90,T
C15,27.5335,39.9796,90,T
C14,50.8509,39.5352,90,T
C12,49.7967,25.5524,0,T
IC1,45.339,35.941,90,T
U2,33.615,35.4443,0,T
F1,40,15,90,T
R17,33.4207,53.828,0,T
R16,26.8996,53.8318,0,T
LOGO EPCB,-76.4142,-116.6336,0,T
JP4,15,27,0,T
R15,35.23,23.6421,180,T
C13,47.6377,56.5658,0,T
R14,30.15,53.8269,0,T
R7,40.386,59.4361,0,T
D6,37.3936,56.6074,0,T
D5,30.1372,56.6024,0,T
D4,22.8472,56.6024,0,T
R4,47.8031,10.9421,270,T
R3,49.4541,10.9421,270,T
R2,11.3541,10.9421,270,T
R1,13.2591,10.9421,270,T
D3,26.035,18.034,0,T
C6,30.7592,26.979,180,T
C5,33.5635,17.25,180,T
C4,32.766,19.4309,180,T
C3,35.255,21.9911,180,T
C2,39.75,21.7459,180,T
C1,40.682,19.5859,180,T
D2,48.3,6.3018,0,T
D1,12,6.4708,0,T
U1,30.1373,23.1341,0,T
JDC4,46.7891,70.8901,270,T
JP3,12.1231,73.6301,0,T
JP2,30.1959,71.3004,270,T
JP1,30.15,11.245,0,T
